Age,Gender,Diet Type,Allergies,Goal,Physical Activity Level,Height (cm),Weight (kg),Diet Plan
41,Female,Non-Vegetarian,Gluten,PCOD/PCOS Cure,Active,156,117,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
45,Male,Non-Vegetarian,Lactose,Weight Gain,Active,196,58,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
65,Female,Vegetarian,None,Weight Loss,Sedentary,184,84,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
29,Male,Non-Vegetarian,Lactose,PCOD/PCOS Cure,Sedentary,182,81,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
46,Female,Gluten-Free,Lactose,Weight Gain,Active,167,53,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
36,Male,Gluten-Free,Nuts,Diabetes Management,Sedentary,159,118,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
58,Male,Vegan,Shellfish,Muscle Gain,Active,166,117,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
51,Female,Dairy-Free,Nuts,PCOD/PCOS Cure,Moderate,171,82,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
43,Female,Vegetarian,Shellfish,Muscle Gain,Moderate,153,97,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
42,Male,Gluten-Free,Nuts,Weight Gain,Sedentary,190,83,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
39,Male,Vegan,Nuts,Weight Loss,Sedentary,182,66,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
61,Male,Non-Vegetarian,None,PCOD/PCOS Cure,Sedentary,169,119,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
52,Male,Vegetarian,None,Weight Loss,Moderate,189,57,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
46,Female,Gluten-Free,Nuts,Weight Loss,Active,178,102,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
18,Female,Vegetarian,Nuts,Diabetes Management,Active,198,70,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
49,Female,Non-Vegetarian,None,Diabetes Management,Sedentary,183,110,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
70,Female,Vegan,Shellfish,Weight Loss,Moderate,199,53,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
48,Female,Non-Vegetarian,Gluten,PCOD/PCOS Cure,Active,156,81,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
30,Female,Non-Vegetarian,Gluten,Weight Gain,Sedentary,193,110,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
29,Female,Dairy-Free,Gluten,PCOD/PCOS Cure,Moderate,167,75,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
44,Female,Vegetarian,Nuts,Weight Gain,Active,193,68,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
53,Male,Non-Vegetarian,Nuts,Muscle Gain,Active,177,112,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
36,Female,Gluten-Free,Gluten,Muscle Gain,Sedentary,199,114,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
40,Male,Dairy-Free,Lactose,PCOD/PCOS Cure,Active,167,68,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
35,Female,Gluten-Free,Nuts,Diabetes Management,Moderate,157,69,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
23,Male,Vegetarian,Nuts,Muscle Gain,Moderate,166,96,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
30,Male,Vegan,Lactose,PCOD/PCOS Cure,Moderate,197,79,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
67,Male,Vegan,Lactose,Diabetes Management,Sedentary,200,105,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
18,Female,Vegetarian,Nuts,PCOD/PCOS Cure,Moderate,167,90,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
66,Female,Dairy-Free,Shellfish,Weight Gain,Active,194,57,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
54,Male,Vegan,Gluten,Muscle Gain,Active,185,64,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
46,Female,Non-Vegetarian,Gluten,Weight Gain,Sedentary,193,69,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
52,Female,Dairy-Free,Nuts,Muscle Gain,Moderate,158,84,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
57,Male,Dairy-Free,Gluten,PCOD/PCOS Cure,Moderate,168,96,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
36,Female,Vegetarian,Shellfish,Weight Loss,Moderate,159,109,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
58,Male,Vegan,Nuts,Weight Gain,Active,154,109,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
57,Female,Non-Vegetarian,Nuts,PCOD/PCOS Cure,Sedentary,182,73,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
38,Male,Vegan,Nuts,PCOD/PCOS Cure,Active,185,78,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
37,Female,Dairy-Free,Lactose,PCOD/PCOS Cure,Active,174,71,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
68,Female,Dairy-Free,Nuts,Muscle Gain,Sedentary,183,81,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
24,Female,Vegan,Gluten,PCOD/PCOS Cure,Sedentary,167,113,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
37,Male,Vegan,Gluten,Muscle Gain,Sedentary,190,83,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
61,Male,Gluten-Free,None,Weight Gain,Active,165,81,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
54,Female,Gluten-Free,None,Weight Loss,Moderate,156,105,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
66,Male,Gluten-Free,None,Weight Gain,Moderate,170,57,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
23,Male,Vegan,Gluten,Diabetes Management,Active,199,52,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
69,Male,Dairy-Free,Shellfish,Diabetes Management,Moderate,166,106,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
47,Female,Non-Vegetarian,None,PCOD/PCOS Cure,Sedentary,180,72,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
51,Male,Vegetarian,None,Weight Loss,Moderate,199,51,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
60,Male,Dairy-Free,Gluten,Weight Loss,Active,195,50,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
56,Female,Vegetarian,Nuts,PCOD/PCOS Cure,Sedentary,180,89,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
61,Male,Gluten-Free,Nuts,Weight Gain,Moderate,154,91,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
22,Male,Gluten-Free,Lactose,PCOD/PCOS Cure,Active,150,72,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
30,Male,Gluten-Free,None,Diabetes Management,Moderate,168,60,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
29,Female,Vegan,Nuts,PCOD/PCOS Cure,Active,172,69,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
32,Male,Vegetarian,Nuts,PCOD/PCOS Cure,Active,189,90,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
66,Male,Vegetarian,Gluten,Diabetes Management,Sedentary,189,116,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
49,Female,Vegetarian,Shellfish,PCOD/PCOS Cure,Active,195,96,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
57,Female,Vegetarian,Gluten,Muscle Gain,Sedentary,177,76,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
25,Female,Non-Vegetarian,Lactose,Weight Loss,Moderate,163,99,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
40,Female,Vegetarian,Shellfish,PCOD/PCOS Cure,Active,168,88,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
36,Female,Non-Vegetarian,Lactose,Muscle Gain,Sedentary,175,83,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
41,Female,Vegetarian,Shellfish,Muscle Gain,Active,181,50,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
18,Female,Dairy-Free,Nuts,Weight Loss,Active,176,107,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
22,Female,Vegetarian,None,Muscle Gain,Sedentary,185,76,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
31,Female,Non-Vegetarian,None,Diabetes Management,Sedentary,172,54,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
35,Male,Gluten-Free,Nuts,PCOD/PCOS Cure,Moderate,178,112,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
59,Female,Vegetarian,Gluten,Weight Loss,Active,193,60,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
51,Male,Vegan,Lactose,Diabetes Management,Active,189,120,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
38,Male,Vegan,Shellfish,Weight Gain,Moderate,192,97,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
19,Male,Non-Vegetarian,Shellfish,PCOD/PCOS Cure,Sedentary,177,83,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
40,Male,Dairy-Free,Lactose,Diabetes Management,Active,151,79,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
20,Female,Vegan,None,Diabetes Management,Active,172,104,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
56,Female,Dairy-Free,Nuts,Muscle Gain,Moderate,200,75,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
65,Female,Vegan,Nuts,PCOD/PCOS Cure,Sedentary,178,79,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
18,Male,Dairy-Free,Shellfish,Weight Loss,Moderate,155,105,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
41,Female,Non-Vegetarian,Nuts,PCOD/PCOS Cure,Moderate,163,101,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
69,Male,Dairy-Free,Gluten,Weight Loss,Sedentary,181,94,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
43,Female,Non-Vegetarian,None,Weight Loss,Active,153,63,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
50,Male,Gluten-Free,None,Muscle Gain,Moderate,178,58,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
70,Female,Vegetarian,None,Weight Gain,Moderate,199,51,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
70,Female,Vegetarian,None,Diabetes Management,Moderate,158,62,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
21,Male,Gluten-Free,Shellfish,PCOD/PCOS Cure,Sedentary,166,50,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
40,Female,Non-Vegetarian,None,Muscle Gain,Sedentary,174,93,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
70,Female,Non-Vegetarian,Nuts,PCOD/PCOS Cure,Sedentary,168,93,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
70,Female,Non-Vegetarian,Lactose,Muscle Gain,Moderate,187,67,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
24,Male,Vegan,None,Diabetes Management,Moderate,177,87,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
50,Female,Dairy-Free,Shellfish,Muscle Gain,Sedentary,181,66,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
68,Male,Vegan,Shellfish,Weight Gain,Moderate,152,59,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
59,Male,Vegan,Gluten,Diabetes Management,Active,151,114,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
66,Male,Vegetarian,None,Diabetes Management,Moderate,156,71,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
49,Male,Dairy-Free,None,Weight Loss,Sedentary,165,111,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
52,Female,Dairy-Free,Nuts,Weight Loss,Moderate,157,64,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
51,Male,Vegetarian,Lactose,Diabetes Management,Moderate,168,63,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
28,Male,Gluten-Free,Lactose,Diabetes Management,Active,171,76,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
31,Male,Gluten-Free,Lactose,Weight Loss,Active,190,84,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
67,Male,Gluten-Free,Lactose,PCOD/PCOS Cure,Active,168,88,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
42,Female,Gluten-Free,Shellfish,Muscle Gain,Moderate,157,109,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
18,Male,Dairy-Free,Gluten,Weight Gain,Moderate,190,58,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
18,Female,Non-Vegetarian,Nuts,Weight Loss,Active,158,74,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
36,Female,Dairy-Free,Nuts,Diabetes Management,Active,167,112,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
47,Female,Vegan,Nuts,Muscle Gain,Sedentary,176,107,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
41,Female,Gluten-Free,Gluten,Weight Loss,Active,189,55,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
61,Female,Dairy-Free,Lactose,Weight Gain,Sedentary,162,64,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
68,Male,Vegan,Lactose,Muscle Gain,Sedentary,163,60,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
70,Male,Non-Vegetarian,Nuts,Weight Gain,Sedentary,169,118,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
30,Male,Non-Vegetarian,None,Weight Gain,Moderate,174,96,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
52,Female,Dairy-Free,Nuts,PCOD/PCOS Cure,Active,169,58,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
52,Male,Dairy-Free,None,Weight Loss,Sedentary,181,93,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
25,Male,Gluten-Free,None,PCOD/PCOS Cure,Sedentary,161,114,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
59,Male,Vegan,Shellfish,Weight Gain,Active,156,109,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
30,Female,Vegan,Shellfish,Diabetes Management,Moderate,166,115,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
38,Female,Non-Vegetarian,None,Weight Gain,Sedentary,186,76,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
68,Female,Non-Vegetarian,Lactose,Weight Loss,Sedentary,178,96,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
37,Female,Vegetarian,Gluten,Diabetes Management,Moderate,152,80,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
53,Female,Vegan,Shellfish,Weight Gain,Sedentary,179,106,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
19,Male,Non-Vegetarian,Gluten,Weight Gain,Sedentary,173,60,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
63,Female,Vegetarian,Lactose,Weight Gain,Active,186,77,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
22,Male,Non-Vegetarian,None,Muscle Gain,Moderate,185,70,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
44,Male,Non-Vegetarian,Shellfish,Muscle Gain,Active,177,110,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
67,Male,Dairy-Free,Lactose,Weight Loss,Moderate,189,68,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
65,Female,Vegan,None,Weight Gain,Active,153,75,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
32,Female,Dairy-Free,Gluten,Weight Loss,Moderate,182,108,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
69,Female,Dairy-Free,Shellfish,Weight Loss,Active,162,62,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
61,Female,Gluten-Free,Gluten,Weight Gain,Moderate,183,117,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
66,Female,Non-Vegetarian,Gluten,Diabetes Management,Sedentary,165,74,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
40,Male,Dairy-Free,None,Weight Gain,Sedentary,171,65,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
23,Female,Non-Vegetarian,Lactose,Weight Gain,Moderate,164,54,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
62,Female,Non-Vegetarian,Nuts,Weight Gain,Sedentary,178,80,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
62,Male,Non-Vegetarian,Gluten,Muscle Gain,Sedentary,173,84,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
62,Male,Vegetarian,Shellfish,Weight Loss,Moderate,172,100,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
43,Female,Vegetarian,Lactose,Muscle Gain,Sedentary,170,78,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
56,Male,Vegetarian,Gluten,Muscle Gain,Sedentary,169,85,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
37,Male,Non-Vegetarian,Shellfish,PCOD/PCOS Cure,Active,154,77,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
52,Male,Vegetarian,Gluten,Weight Gain,Moderate,185,76,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
29,Female,Dairy-Free,Lactose,Weight Loss,Active,182,85,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
67,Male,Non-Vegetarian,Shellfish,Muscle Gain,Active,184,99,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
18,Male,Non-Vegetarian,Shellfish,Weight Gain,Active,163,69,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
47,Female,Dairy-Free,Gluten,Diabetes Management,Active,166,65,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
23,Female,Dairy-Free,Lactose,PCOD/PCOS Cure,Active,190,82,"Vegetarian muscle gain: Oats, Paneer curry, Chickpea stew"
38,Female,Non-Vegetarian,Gluten,Weight Gain,Moderate,198,84,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
43,Male,Vegetarian,Nuts,Muscle Gain,Sedentary,172,112,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
25,Female,Non-Vegetarian,Gluten,Weight Loss,Moderate,184,82,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
67,Male,Vegan,Gluten,Weight Gain,Moderate,169,66,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
23,Female,Non-Vegetarian,Lactose,PCOD/PCOS Cure,Sedentary,168,82,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
58,Male,Vegetarian,None,Muscle Gain,Moderate,199,105,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
64,Male,Vegan,Lactose,Muscle Gain,Sedentary,181,68,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
34,Male,Vegan,Shellfish,Muscle Gain,Sedentary,188,91,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
35,Female,Gluten-Free,Shellfish,Diabetes Management,Active,194,68,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
22,Male,Non-Vegetarian,None,Weight Gain,Moderate,152,91,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
20,Female,Vegetarian,Gluten,Weight Gain,Moderate,198,66,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
20,Female,Dairy-Free,Shellfish,Weight Loss,Active,193,81,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
24,Female,Non-Vegetarian,Lactose,Weight Gain,Moderate,184,120,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
65,Female,Vegetarian,Nuts,Diabetes Management,Sedentary,150,115,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
19,Male,Gluten-Free,None,PCOD/PCOS Cure,Moderate,163,62,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
62,Female,Vegetarian,Lactose,Muscle Gain,Moderate,156,70,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
47,Female,Gluten-Free,Gluten,PCOD/PCOS Cure,Sedentary,176,103,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
32,Female,Vegan,Shellfish,PCOD/PCOS Cure,Sedentary,198,60,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
43,Male,Non-Vegetarian,Gluten,PCOD/PCOS Cure,Active,200,118,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
21,Female,Dairy-Free,Shellfish,Weight Loss,Moderate,162,69,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
60,Male,Gluten-Free,None,Diabetes Management,Moderate,195,89,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
38,Male,Dairy-Free,Gluten,Muscle Gain,Sedentary,170,105,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
49,Male,Non-Vegetarian,Nuts,Weight Loss,Moderate,160,89,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
43,Female,Gluten-Free,Lactose,Diabetes Management,Moderate,171,55,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
36,Female,Vegan,Lactose,PCOD/PCOS Cure,Sedentary,160,89,"Gluten-Free PCOS cure: Fruit bowl, Gluten-free bread, Tofu stir-fry"
42,Female,Vegan,Gluten,Diabetes Management,Active,151,78,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
